condition,time,mean,sd,n,sem,ci
neutral,1,0.0031904394277452773,0.11475720756307342,5,0.05132098340381703,0.10058912747148137
neutral,201,-0.004860051592318876,0.13249159274758585,5,0.05925204156616402,0.11613400146968147
neutral,401,0.014430927168696027,0.15285619492280775,5,0.06835936852587127,0.13398436231070768
neutral,601,0.03526312325077795,0.16311553972609943,5,0.07294748700282515,0.1429770745255373
neutral,801,0.09321230104971887,0.16832222407988218,5,0.0752759870333137,0.14754093458529485
neutral,1001,0.18871693997361524,0.16157200861734566,5,0.07225719890591334,0.14162410985559015
neutral,1201,0.26967119468544964,0.16426233605217763,5,0.07346034991111672,0.14398228582578876
neutral,1401,0.33580299787219664,0.20756435493353956,5,0.09282560146745765,0.181938178876217
neutral,1601,0.3779465568918862,0.23038744932337943,5,0.10303239956997286,0.2019435031571468
neutral,1801,0.37831519089400123,0.2529536071409297,5,0.11312429214417899,0.22172361260259082
neutral,2001,0.37579581568344195,0.2782575862088049,5,0.12444057560357916,0.24390352818301514
neutral,2201,0.4073595872160396,0.3074596813141074,5,0.1375001495517532,0.26950029312143625
neutral,2401,0.4363741500637408,0.30926765007551316,5,0.13830869776209306,0.2710850476137024
neutral,2601,0.46885669058967916,0.3213522309297076,5,0.14371308661600732,0.28167764976737436
neutral,2801,0.44851337549928494,0.3180507563384302,5,0.1422366222935904,0.2787837796954372
neutral,3001,0.4387404809010803,0.33762967277081407,5,0.15099257990731,0.2959454566183276
neutral,3201,0.4244841479401139,0.34351576988009547,5,0.15362492255901364,0.30110484821566674
neutral,3401,0.45103408941503165,0.3325799792456909,5,0.1487342883097668,0.2915192050871429
neutral,3601,0.4499414545707089,0.37195218965375787,5,0.1663420760891393,0.32603046913471306
neutral,3801,0.4360502055240549,0.3624291354670732,5,0.16208323678617115,0.31768314410089543
neutral,4001,0.45577207520593643,0.33473840164111685,5,0.14969956414983288,0.29341114573367244
neutral,4201,0.43620500648901545,0.32214752146994763,5,0.14406875135797517,0.2823747526616313
neutral,4401,0.444816446244582,0.3309758358186774,5,0.14801689356007447,0.290113111377746
neutral,4601,0.42867439088277426,0.34511075032687166,5,0.15433821949936855,0.30250291021876236
neutral,4801,0.3914374451842848,0.3707336983171544,5,0.1657971501974113,0.3249624143869262
neutral,5001,0.36793839747207685,0.3561023791140425,5,0.15925382532968008,0.31213749764617293
neutral,5201,0.36702013550412876,0.3557609739903133,5,0.15910114431677502,0.311838242860879
neutral,5401,0.36579111925241165,0.3626059190092991,5,0.1621622967897152,0.31783810170784177
neutral,5601,0.38006757830021815,0.37166509495824546,5,0.16621368343811024,0.3257788195386961
neutral,5801,0.39889215142147966,0.35834920867556835,5,0.16025863805636564,0.3141069305904767
neutral,6001,0.4019857042913657,0.36264298573758647,5,0.162178873534546,0.3178705921277101
neutral,6201,0.4110572995492195,0.3433817053882588,5,0.15356496709559048,0.30098733550735735
neutral,6401,0.377994558890934,0.33761192957274366,5,0.15098464490790525,0.2959299040194943
neutral,6601,0.3715484032461823,0.345061767451812,5,0.15431631369169518,0.30245997483572257
neutral,6801,0.3728242147089882,0.35492330328290916,5,0.1587265265878718,0.3111039921122287
neutral,7001,0.39411789141203357,0.34295131977571536,5,0.1533724927983535,0.30061008588477284
neutral,7201,0.391810639016065,0.34875680535929937,5,0.15596878487981125,0.30569881836443
neutral,7401,0.42392992593471435,0.3367264821016858,5,0.15058866076074715,0.2951537750910644
neutral,7601,0.3894515583809651,0.326888044890525,5,0.14618877788144333,0.2865300046476289
neutral,7801,0.3572014901896141,0.33395527005797326,5,0.14934933705878567,0.2927247006352199
neutral,8001,0.33402465729140435,0.32806542302588854,5,0.1467153173906223,0.2875620220856197
neutral,8201,0.3368105756273266,0.3167425371473409,5,0.1416515688854413,0.277637075015465
neutral,8401,0.29999764344916663,0.3187547312155966,5,0.14255144942954964,0.2794008408819173
neutral,8601,0.28571824795627454,0.29880348274224433,5,0.13362897986506872,0.2619128005355347
neutral,8801,0.2796083050174343,0.29244946817409556,5,0.13078737816418778,0.25634326120180806
neutral,9001,0.26804483636594123,0.3020033723375824,5,0.13506001399620277,0.2647176274325574
neutral,9201,0.25635692427446444,0.2957362934010496,5,0.13225729109171389,0.2592242905397592
neutral,9401,0.22567632882053576,0.30638497097918493,5,0.13701952447875157,0.2685582679783531
neutral,9601,0.2117668867546775,0.3110076826582671,5,0.13908686398971354,0.2726102534198385
neutral,9801,0.21852335635369513,0.31449955392523116,5,0.14064847629403554,0.27567101353630963
neutral,10001,0.21424634450941568,0.3197956741301902,5,0.14301697325309526,0.2803132675760667
neutral,10201,0.1901869001898813,0.3299341186180784,5,0.14755102346530047,0.2892000059919889
neutral,10401,0.20035204818983307,0.3275237242980862,5,0.14647306235488405,0.28708720221557277
neutral,10601,0.2012234679520629,0.310132493353907,5,0.13869546743416755,0.2718431161709684
neutral,10801,0.21030357224745452,0.3241301185858717,5,0.14495539574261543,0.2841125756555262
neutral,11001,0.22709061111102832,0.31357859977273933,5,0.14023661307620905,0.2748637616293697
neutral,11201,0.21653244804480692,0.29734736810816925,5,0.1329777856041039,0.26063645978404365
neutral,11401,0.21624569572756921,0.3068714421622471,5,0.13723708100563592,0.26898467877104637
neutral,11601,0.21446911025519233,0.31531181230263333,5,0.14101172928346853,0.2763829893955983
neutral,11801,0.20693691852053564,0.3174595513578232,5,0.14197222738853568,0.27826556568152994
neutral,12001,0.21428085957426377,0.317698027515094,5,0.14207887716826975,0.2784745992498087
neutral,12201,0.21570024235130278,0.32573099845810005,5,0.14567133098623816,0.2855158087330268
neutral,12401,0.19399946008402533,0.3481196680455104,5,0.15568384841088453,0.3051403428853337
neutral,12601,0.21121334005967887,0.3477613150722994,5,0.15552358808927672,0.3048262326549824
neutral,12801,0.18207330828231802,0.34953195492873074,5,0.1563154423058069,0.3063782669193815
neutral,13001,0.1709855073761752,0.3605163977464863,5,0.16122783447289907,0.3160065555668822
neutral,13201,0.2177711493146843,0.3233476645180184,5,0.14460547164561716,0.2834267244254096
neutral,13401,0.19690160223623812,0.3172191720909222,5,0.14186472651230123,0.2780548639641104
neutral,13601,0.17509047156147628,0.3258632692507361,5,0.14573048428299257,0.28563174919466544
neutral,13801,0.150468093858737,0.3183490950229667,5,0.1423700434093787,0.27904528508238224
neutral,14001,0.1460566211795083,0.32872505674889313,5,0.1470103145596002,0.2881402165368164
neutral,14201,0.1406218202636442,0.33499710077368294,5,0.14981525791906047,0.29363790552135854
neutral,14401,0.15400541316652622,0.3258815597710615,5,0.14573866405235084,0.2856477815426076
neutral,14601,0.14819493100920259,0.3250600516294559,5,0.14537127444261091,0.2849276979075174
neutral,14801,0.14223342241090686,0.3215600857394312,5,0.14380604211280576,0.2818598425410993
neutral,15001,0.14118288150711664,0.3279349352288064,5,0.14665696147372032,0.2874476444884918
