time,diff,.lower,.upper,.width,.point,.interval
15001,-0.002356324242008691,-0.06968927515089961,0.06700095467524175,0.95,median,qi
16001,0.0012355472136421353,-0.03628143691478585,0.03928376076112069,0.95,median,qi
17001,-6.333009683897606e-4,-0.03704417765213841,0.034153794655747666,0.95,median,qi
18001,-0.0014041373142143487,-0.038876450261070034,0.034858430507935315,0.95,median,qi
19001,0.014700261500226575,-0.023043771527747062,0.05078618413247495,0.95,median,qi
20001,0.046421393367708716,0.009968842733669303,0.08226848632524322,0.95,median,qi
21001,0.12310427083864403,0.08538545107466015,0.15903300784390767,0.95,median,qi
22001,0.22792566518913712,0.18822472508736368,0.26909892927658685,0.95,median,qi
23001,0.29069138717340165,0.25202828534727406,0.331201568893038,0.95,median,qi
24001,0.3060089879578638,0.26691444848316903,0.3472119451920655,0.95,median,qi
