condition,time,.epred,.lower,.upper,.width,.point,.interval
neutral,15001,0.09910449745170362,-0.05144984887010154,0.3346778514943341,0.95,median,qi
neutral,16001,0.09119461057787977,-0.008891482484175444,0.3087565866588118,0.95,median,qi
neutral,17001,0.08969695257417211,-0.0030125870803802044,0.2975769594839506,0.95,median,qi
neutral,18001,0.0880576658392193,-0.01827552335298903,0.3029142227918613,0.95,median,qi
neutral,19001,0.09409782787961501,-0.04246870453055911,0.333201043139095,0.95,median,qi
neutral,20001,0.0953486012983264,-0.06598599760597632,0.3494798347311215,0.95,median,qi
neutral,21001,0.08586835226348807,-0.07503111086600339,0.34580914704239624,0.95,median,qi
neutral,22001,0.09893241670651223,-0.0703735363883896,0.3111819810153178,0.95,median,qi
neutral,23001,0.11104948970351444,-0.07469707942659282,0.2345782619006743,0.95,median,qi
neutral,24001,0.11047421147801435,-0.09575081826191087,0.1757858530786108,0.95,median,qi
reward,15001,0.09968113266586567,-0.05484502513848965,0.3383482793172522,0.95,median,qi
reward,16001,0.09278151148323771,-0.008813544091772239,0.3120020644013786,0.95,median,qi
reward,17001,0.08940042020833447,-0.005954841455235934,0.29909093627315314,0.95,median,qi
reward,18001,0.08727793362495657,-0.022252296028241993,0.303816633630764,0.95,median,qi
reward,19001,0.10931602288384537,-0.03037952659062229,0.3490201433046709,0.95,median,qi
reward,20001,0.14265269725150165,-0.021964930249091307,0.3987134114360295,0.95,median,qi
reward,21001,0.20944074127557485,0.04611316062207893,0.4710121859320201,0.95,median,qi
reward,22001,0.32605514653641615,0.15417223381283054,0.5423590063685898,0.95,median,qi
reward,23001,0.3996525512455964,0.2130948645869452,0.5282429786066841,0.95,median,qi
reward,24001,0.41622939989534924,0.21058575173927013,0.48328154333301565,0.95,median,qi
